Epoch 4: pi_loss 0.5725, v_loss 0.2141
Epoch 5: pi_loss 0.5383, v_loss 0.2050
Epoch 6: pi_loss 0.5179, v_loss 0.1989
Epoch 7: pi_loss 0.5036, v_loss 0.1951
Epoch 8: pi_loss 0.4903, v_loss 0.1909
Epoch 9: pi_loss 0.4813, v_loss 0.1873
Epoch 10: pi_loss 0.4723, v_loss 0.1847
Epoch 1: pi_loss 0.6189, v_loss 0.2244
Epoch 2: pi_loss 0.5168, v_loss 0.2001
Epoch 3: pi_loss 0.4851, v_loss 0.1910
Epoch 4: pi_loss 0.4696, v_loss 0.1860
Epoch 5: pi_loss 0.4605, v_loss 0.1830
Epoch 6: pi_loss 0.4531, v_loss 0.1800
Epoch 7: pi_loss 0.4478, v_loss 0.1778
Epoch 8: pi_loss 0.4417, v_loss 0.1761
Epoch 9: pi_loss 0.4364, v_loss 0.1740
Epoch 10: pi_loss 0.4315, v_loss 0.1736
Epoch 1: pi_loss 0.5742, v_loss 0.2148
Epoch 2: pi_loss 0.4776, v_loss 0.1920
Epoch 3: pi_loss 0.4482, v_loss 0.1838
Epoch 4: pi_loss 0.4366, v_loss 0.1791
Epoch 5: pi_loss 0.4301, v_loss 0.1755
Epoch 6: pi_loss 0.4247, v_loss 0.1740
Epoch 7: pi_loss 0.4209, v_loss 0.1724
Epoch 8: pi_loss 0.4172, v_loss 0.1701
Epoch 9: pi_loss 0.4137, v_loss 0.1690
Epoch 10: pi_loss 0.4099, v_loss 0.1682
Epoch 1: pi_loss 0.6830, v_loss 0.2570
Epoch 2: pi_loss 0.5307, v_loss 0.2126
Epoch 3: pi_loss 0.4689, v_loss 0.1967
Epoch 4: pi_loss 0.4463, v_loss 0.1898
Epoch 5: pi_loss 0.4343, v_loss 0.1851
Epoch 6: pi_loss 0.4262, v_loss 0.1814
Epoch 7: pi_loss 0.4192, v_loss 0.1795
Epoch 8: pi_loss 0.4149, v_loss 0.1767
Epoch 9: pi_loss 0.4100, v_loss 0.1762
Epoch 10: pi_loss 0.4053, v_loss 0.1742
Epoch 1: pi_loss 0.7923, v_loss 0.2954
Epoch 2: pi_loss 0.5969, v_loss 0.2305
Epoch 3: pi_loss 0.5037, v_loss 0.2081
Epoch 4: pi_loss 0.4672, v_loss 0.1979
Epoch 5: pi_loss 0.4472, v_loss 0.1921
Epoch 6: pi_loss 0.4369, v_loss 0.1875
Epoch 7: pi_loss 0.4287, v_loss 0.1854
