Epoch 4: pi_loss 0.5468, v_loss 0.3417
Epoch 5: pi_loss 0.5379, v_loss 0.3384
Epoch 6: pi_loss 0.5320, v_loss 0.3361
Epoch 7: pi_loss 0.5275, v_loss 0.3336
Epoch 8: pi_loss 0.5246, v_loss 0.3326
Epoch 9: pi_loss 0.5217, v_loss 0.3315
Epoch 10: pi_loss 0.5190, v_loss 0.3302
Epoch 1: pi_loss 0.7378, v_loss 0.4383
Epoch 2: pi_loss 0.6264, v_loss 0.3775
Epoch 3: pi_loss 0.5766, v_loss 0.3587
Epoch 4: pi_loss 0.5543, v_loss 0.3502
Epoch 5: pi_loss 0.5430, v_loss 0.3455
Epoch 6: pi_loss 0.5349, v_loss 0.3419
Epoch 7: pi_loss 0.5302, v_loss 0.3404
Epoch 8: pi_loss 0.5261, v_loss 0.3384
Epoch 9: pi_loss 0.5224, v_loss 0.3370
Epoch 10: pi_loss 0.5202, v_loss 0.3357
Epoch 1: pi_loss 0.7800, v_loss 0.4693
Epoch 2: pi_loss 0.6531, v_loss 0.3940
Epoch 3: pi_loss 0.5912, v_loss 0.3704
Epoch 4: pi_loss 0.5620, v_loss 0.3603
Epoch 5: pi_loss 0.5475, v_loss 0.3546
Epoch 6: pi_loss 0.5380, v_loss 0.3507
Epoch 7: pi_loss 0.5322, v_loss 0.3482
Epoch 8: pi_loss 0.5265, v_loss 0.3461
Epoch 9: pi_loss 0.5230, v_loss 0.3446
Epoch 10: pi_loss 0.5199, v_loss 0.3435
Epoch 1: pi_loss 0.5829, v_loss 0.3789
Epoch 2: pi_loss 0.5411, v_loss 0.3570
Epoch 3: pi_loss 0.5274, v_loss 0.3493
Epoch 4: pi_loss 0.5209, v_loss 0.3454
Epoch 5: pi_loss 0.5164, v_loss 0.3429
Epoch 6: pi_loss 0.5138, v_loss 0.3405
Epoch 7: pi_loss 0.5110, v_loss 0.3395
Epoch 8: pi_loss 0.5089, v_loss 0.3388
Epoch 9: pi_loss 0.5070, v_loss 0.3379
Epoch 10: pi_loss 0.5052, v_loss 0.3369
Epoch 1: pi_loss 0.6362, v_loss 0.4079
